window_idx,window_start_s,bytes_read_per_sec,bytes_written_per_sec,rw_volume_ratio,file_deletion_rate,file_rename_rate,target_extension_velocity,seq_vs_random_disk_ratio,urandom_bytes_per_sec,mmap_brk_rate,mprotect_rate,futex_rate,net_packet_rate,net_byte_volume,unique_dest_ip_rate,dns_query_rate,connection_failure_rate,child_spawn_rate,execve_rate,syscall_sequence_entropy,io_burstiness_std,dir_ops,drop_rate,ransom_note_hits,library_call_rate_openssl,vmrss_kb,mean_file_entropy,time_to_first_encryption_s,encryption_slope,file_entropy_delta
0,0.0,133750,243900,0.5484,0,0,310,10,0,8962114,60,0,0,0,0,0,0,0,10,2.5576,0.0,130,0,0,0,0,0.0,0.0277,0.0035,0.0
1,0.1,103500,310260,0.3336,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,1.5665,3318.0,0,0,0,0,0,0.0,0.0277,0.0035,0.0
2,0.2,98100,303540,0.3232,0,0,380,0,0,0,0,0,0,0,0,0,0,0,0,1.5552,2982.4929,0,0,0,0,0,0.0,0.0277,0.0035,0.0
3,0.3,90400,275300,0.3284,0,0,360,0,0,0,0,0,0,0,0,0,0,0,0,1.5678,2623.3801,0,0,0,0,0,0.0,0.0277,0.0035,0.0
4,0.4,111600,332190,0.336,0,0,420,0,0,0,0,0,0,0,0,0,0,0,0,1.5595,3055.7971,0,0,0,0,0,0.0,0.0277,0.0035,0.0
5,0.5,116600,359440,0.3244,0,0,450,0,0,0,0,0,0,0,0,0,0,0,0,1.5503,2826.2103,0,0,0,0,0,0.0,0.0277,0.0035,0.0
6,0.6,80300,242720,0.3308,0,0,310,0,0,0,0,0,0,0,0,0,0,0,0,1.5631,4108.0736,0,0,0,0,0,0.0,0.0277,0.0035,0.0
7,0.7,83000,251610,0.3299,0,0,320,0,0,0,0,0,0,0,0,0,0,0,0,1.561,4582.9756,0,0,0,0,0,0.0,0.0277,0.0035,0.0
8,0.8,88000,267800,0.3286,0,0,340,0,0,0,0,0,0,0,0,0,0,0,0,1.5589,4647.8194,0,0,0,0,0,0.0,0.0277,0.0035,0.0
10,1.0,282100,858500,0.3286,0,0,1090,0,0,0,0,0,0,0,0,0,0,0,0,1.5567,25508.7127,0,0,0,0,0,0.0,0.0277,0.0035,0.0
11,1.1,219900,661400,0.3325,0,0,850,0,0,0,0,0,0,0,0,0,0,0,0,1.5666,23969.9458,0,0,0,0,0,0.0,0.0277,0.0035,0.0
12,1.2,212700,654700,0.3249,0,0,820,0,0,0,0,0,0,0,0,0,0,0,0,1.5511,19248.9953,0,0,0,0,0,0.0,0.0277,0.0035,0.0
13,1.3,245400,740980,0.3312,0,0,950,0,0,0,0,0,0,0,0,0,0,0,0,1.5644,7882.3596,0,0,0,0,0,0.0,0.0277,0.0035,0.0
14,1.4,235900,722240,0.3266,0,0,910,0,0,0,0,0,0,0,0,0,0,0,0,1.5547,7353.83,0,0,0,0,0,0.0,0.0277,0.0035,0.0
15,1.5,251000,765480,0.3279,0,0,970,0,0,0,0,0,0,0,0,0,0,0,0,1.5585,4382.294,0,0,0,0,0,0.0,0.0277,0.0035,0.0
16,1.6,228300,694200,0.3289,0,0,890,0,0,0,0,0,0,0,0,0,0,0,0,1.5625,3832.2282,0,0,0,0,0,0.0,0.0277,0.0035,0.0
17,1.7,184400,560500,0.329,0,0,700,0,0,0,0,0,0,0,0,0,0,0,0,1.5567,7197.2754,0,0,0,0,0,0.0,0.0277,0.0035,0.0
19,1.9,252800,769410,0.3286,0,0,980,0,0,0,0,0,0,0,0,0,0,0,0,1.5596,8341.0733,0,0,0,0,0,0.0,0.0277,0.0035,0.0
20,2.0,253400,776930,0.3262,0,0,990,0,0,0,0,0,0,0,0,0,0,0,0,1.5584,8585.3821,0,0,0,0,0,0.0,0.0277,0.0035,0.0
21,2.1,253800,765090,0.3317,0,0,970,0,0,0,0,0,0,0,0,0,0,0,0,1.5608,9229.9421,0,0,0,0,0,0.0,0.0277,0.0035,0.0
22,2.2,217000,664750,0.3264,0,0,840,0,0,0,0,0,0,0,0,0,0,0,0,1.5551,6780.7068,0,0,0,0,0,0.0,0.0277,0.0035,0.0
23,2.3,256300,783060,0.3273,0,0,990,0,0,0,0,0,0,0,0,0,0,0,0,1.5588,4398.4387,0,0,0,0,0,0.0,0.0277,0.0035,0.0
24,2.4,248800,756800,0.3288,0,0,970,0,0,0,0,0,0,0,0,0,0,0,0,1.5606,4326.067,0,0,0,0,0,0.0,0.0277,0.0035,0.0
25,2.5,221800,675800,0.3282,0,0,850,0,0,0,0,0,0,0,0,0,0,0,0,1.5553,4890.0029,0,0,0,0,0,0.0,0.0277,0.0035,0.0
26,2.6,419000,1268290,0.3304,0,0,1620,0,0,0,0,0,0,0,0,0,0,0,0,1.562,22393.9542,0,0,0,0,0,0.0,0.0277,0.0035,0.0
28,2.8,271800,827100,0.3286,0,0,1050,0,0,0,0,0,0,0,0,0,0,0,0,1.5589,21056.9149,0,0,0,0,0,0.0,0.0277,0.0035,0.0
29,2.9,401700,1219530,0.3294,0,0,1550,0,0,0,0,0,0,0,0,0,0,0,0,1.5596,24457.9191,0,0,0,0,0,0.0,0.0277,0.0035,0.0
30,3.0,385800,1168370,0.3302,0,0,1490,0,0,0,0,0,0,0,0,0,0,0,0,1.562,21084.3855,0,0,0,0,0,0.0,0.0277,0.0035,0.0
