window_idx,window_start_s,bytes_read_per_sec,bytes_written_per_sec,rw_volume_ratio,file_deletion_rate,file_rename_rate,target_extension_velocity,seq_vs_random_disk_ratio,urandom_bytes_per_sec,mmap_brk_rate,mprotect_rate,futex_rate,net_packet_rate,net_byte_volume,unique_dest_ip_rate,dns_query_rate,connection_failure_rate,child_spawn_rate,execve_rate,syscall_sequence_entropy,io_burstiness_std,dir_ops,drop_rate,ransom_note_hits,library_call_rate_openssl,vmrss_kb,mean_file_entropy,time_to_first_encryption_s,encryption_slope,file_entropy_delta
0,0.0,5396390,0,0.0,0,0,10,400,0,29759832,290,0,0,0,0,0,0,20,30,4.0262,0.0,240,0,0,0,0,0.0,0.0437,-3.6242,0.0
1,0.1,16821420,0,0.0,0,0,0,650,0,24466619,180,0,0,0,0,0,0,0,0,2.8438,0.0,100,0,0,0,0,0.0,0.0437,-3.6242,0.0
2,0.2,455600,610,746.8852,0,0,0,50,0,0,0,0,30,436,1,0,20,0,0,3.7553,28.7557,0,0,0,0,0,0.0,0.0437,-3.6242,0.0
3,0.3,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.4138,0,0,0,0,0,0.0,0.0437,-3.6242,0.0
4,0.4,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,24.4,0,0,0,0,0,0.0,0.0437,-3.6242,0.0
5,0.5,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,24.4,0,0,0,0,0,0.0,0.0437,-3.6242,0.0
6,0.6,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,24.4,0,0,0,0,0,0.0,0.0437,-3.6242,0.0
7,0.7,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0,0.0,0,0,0,0,0,0.0,0.0437,-3.6242,0.0
8,0.8,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0437,-3.6242,0.0
9,0.9,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0437,-3.6242,0.0
10,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0437,-3.6242,0.0
11,1.1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0437,-3.6242,0.0
12,1.2,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0,0.0,0,0,0,0,0,0.0,0.0437,-3.6242,0.0
13,1.3,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0437,-3.6242,0.0
14,1.4,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0437,-3.6242,0.0
15,1.5,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0437,-3.6242,0.0
16,1.6,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0437,-3.6242,0.0
17,1.7,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0,0.0,0,0,0,0,0,0.0,0.0437,-3.6242,0.0
18,1.8,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0437,-3.6242,0.0
19,1.9,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0437,-3.6242,0.0
20,2.0,189170,830,227.9157,0,0,0,40,0,27841050,300,0,0,0,0,0,20,10,10,3.8792,33.2,0,0,0,0,0,0.0,0.0437,-3.6242,0.0
21,2.1,31190,1980,15.7525,0,0,0,10,0,142688256,10,10,40,565,1,0,10,10,0,0.6639,77.847,20,0,0,0,0,0.0,0.0437,-3.6242,0.0
22,2.2,1274550,498680,2.5558,0,0,10,10,0,65420,0,20,40,684,1,0,0,10,0,0.8534,19919.2323,0,0,0,0,0,0.0,0.0437,-3.6242,0.0
23,2.3,47810,122030,0.3918,0,0,280,140,0,229376,0,370,220,4197,1,0,0,140,0,4.2255,19278.0826,0,0,0,0,0,0.0,0.0437,-3.6242,0.0
24,2.4,49070,131290,0.3738,0,0,280,140,0,229376,0,280,180,3679,1,0,0,140,0,4.2108,18268.394,0,0,0,0,0,0.0,0.0437,-3.6242,0.0
26,2.6,31770,115950,0.274,0,0,280,140,0,229376,0,300,180,3429,1,0,0,140,0,4.2315,15159.3877,0,0,0,0,0,0.0,0.0437,-3.6242,0.0
27,2.7,44880,116510,0.3852,0,0,260,130,0,212992,0,300,200,3777,1,0,0,130,0,4.2198,691.0282,0,0,0,0,0,0.0,0.0437,-3.6242,0.0
28,2.8,46140,105760,0.4363,0,0,250,130,0,212992,0,250,190,3616,1,0,0,130,0,4.2228,852.8171,0,0,0,0,0,0.0,0.0437,-3.6242,0.0
29,2.9,41770,108270,0.3858,0,0,250,120,0,196608,0,370,180,3353,1,0,0,120,0,4.2023,420.7457,0,0,0,0,0,0.0,0.0437,-3.6242,0.0
30,3.0,2500,8000,0.3125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3392,4166.1304,0,0,0,0,0,0.0,0.0437,-3.6242,0.0
