window_idx,window_start_s,bytes_read_per_sec,bytes_written_per_sec,rw_volume_ratio,file_deletion_rate,file_rename_rate,target_extension_velocity,seq_vs_random_disk_ratio,urandom_bytes_per_sec,mmap_brk_rate,mprotect_rate,futex_rate,net_packet_rate,net_byte_volume,unique_dest_ip_rate,dns_query_rate,connection_failure_rate,child_spawn_rate,execve_rate,syscall_sequence_entropy,io_burstiness_std,dir_ops,drop_rate,ransom_note_hits,library_call_rate_openssl,vmrss_kb,mean_file_entropy,time_to_first_encryption_s,encryption_slope,file_entropy_delta
0,0.0,503450,128850,3.9073,0,0,100,140,0,13874997020,160,430,0,0,0,0,0,450,130,3.7201,0.0,140,0,0,0,0,0.0,0.0273,0.626,1.5366
9,0.9,341960,125320,2.7287,0,0,70,70,0,8826783792,0,370,0,0,0,0,0,290,70,3.4899,3737.5258,0,0,0,0,0,0.0,0.0273,0.626,1.5366
18,1.8,564890,114130,4.9495,0,0,130,120,0,15136779360,0,560,0,0,0,0,0,520,120,3.42,8357.4715,0,0,0,0,0,0.0,0.0273,0.626,1.5366
28,2.8,642200,228600,2.8093,0,0,140,140,0,17637031536,0,570,0,0,0,0,0,590,140,3.3636,7707.3367,0,0,0,0,0,0.0,0.0273,0.626,1.5366
37,3.7,289230,93130,3.1057,0,0,60,60,0,7561311792,0,340,0,0,0,0,0,250,60,3.4774,5600.5592,0,0,0,0,0,0.0,0.0273,0.626,1.5366
46,4.6,560780,163500,3.4298,0,0,130,120,0,15195049072,0,510,0,0,0,0,0,530,120,3.396,4065.3485,0,0,0,0,0,0.0,0.0273,0.626,1.5366
56,5.6,719460,335360,2.1453,0,0,140,150,0,18884664960,0,540,0,0,0,0,0,570,150,3.4011,9460.2551,0,0,0,0,0,0.0,0.0273,0.626,1.5366
65,6.5,435120,163120,2.6675,0,0,100,110,0,13850342232,0,590,0,0,0,0,0,460,110,3.4554,8913.2329,0,0,0,0,0,0.0,0.0273,0.626,1.5366
74,7.4,609820,200830,3.0365,0,0,130,140,0,17640959600,0,470,0,0,0,0,0,560,140,3.3838,4443.5705,0,0,0,0,0,0.0,0.0273,0.626,1.5366
84,8.4,557590,122670,4.5454,0,0,130,130,0,15182728304,0,570,0,0,0,0,0,530,120,3.4274,7164.1715,0,0,0,0,0,0.0,0.0273,0.626,1.5366
