window_idx,window_start_s,bytes_read_per_sec,bytes_written_per_sec,rw_volume_ratio,file_deletion_rate,file_rename_rate,target_extension_velocity,seq_vs_random_disk_ratio,urandom_bytes_per_sec,mmap_brk_rate,mprotect_rate,futex_rate,net_packet_rate,net_byte_volume,unique_dest_ip_rate,dns_query_rate,connection_failure_rate,child_spawn_rate,execve_rate,syscall_sequence_entropy,io_burstiness_std,dir_ops,drop_rate,ransom_note_hits,library_call_rate_openssl,vmrss_kb,mean_file_entropy,time_to_first_encryption_s,encryption_slope,file_entropy_delta
0,0.0,7079940,1291720,5.481,0,0,0,80,6300,249844942,1330,0,0,0,1,10,40,100,70,4.3857,0.0,140,0,0,0,0,0.0,0.6514,-0.3972,1.2882
8,0.8,2677140,313940,8.5276,150,0,140,0,0,416209280,2280,0,0,0,0,0,0,290,290,4.1613,12477.4191,0,0,0,0,0,0.0,0.6514,-0.3972,1.2882
17,1.7,2701570,347090,7.7835,150,0,140,0,0,416209280,2280,0,0,0,0,0,0,300,290,4.1537,8282.3314,0,0,0,0,0,0.0,0.6514,-0.3972,1.2882
26,2.6,2789610,477590,5.841,150,0,140,0,0,409159832,2240,0,0,0,0,0,0,280,280,4.1539,9680.2409,0,0,0,0,0,0.0,0.6514,-0.3972,1.2882
34,3.4,2831640,332600,8.5137,140,0,150,0,0,418269744,2380,0,0,0,0,0,0,290,290,4.1546,4704.6632,0,0,0,0,0,0.0,0.6514,-0.3972,1.2882
43,4.3,2777790,294240,9.4406,140,0,140,0,0,430560647,2360,0,0,0,0,0,0,290,290,4.1653,3744.3374,0,0,0,0,0,0.0,0.6514,-0.3972,1.2882
52,5.2,2826250,470890,6.0019,150,0,140,0,0,430934935,2320,0,0,0,0,0,0,290,290,4.1614,10115.2,0,0,0,0,0,0.0,0.6514,-0.3972,1.2882
61,6.1,2804620,441640,6.3505,150,0,140,0,0,430934935,2330,0,0,0,0,0,0,290,290,4.1644,6884.6192,0,0,0,0,0,0.0,0.6514,-0.3972,1.2882
69,6.9,2764760,387690,7.1314,140,0,140,0,0,430560647,2290,0,0,0,0,0,0,290,290,4.1663,10251.6846,0,0,0,0,0,0.0,0.6514,-0.3972,1.2882
78,7.8,2764000,432090,6.3968,140,0,140,0,0,412665639,2240,0,0,0,0,0,0,290,290,4.1686,3237.7637,0,0,0,0,0,0.0,0.6514,-0.3972,1.2882
87,8.7,2672010,308300,8.6669,150,0,150,0,0,416209280,2280,0,0,0,0,0,0,300,290,4.1608,5546.234,0,0,0,0,0,0.0,0.6514,-0.3972,1.2882
96,9.6,2834950,527640,5.3729,140,0,140,0,0,412734823,2280,0,0,0,0,0,0,280,280,4.163,10517.4787,0,0,0,0,0,0.0,0.6514,-0.3972,1.2882
104,10.4,2664550,250850,10.6221,140,0,150,0,0,408785482,2240,0,0,0,0,0,0,290,290,4.1681,5467.731,0,0,0,0,0,0.0,0.6514,-0.3972,1.2882
113,11.3,2853540,554100,5.1499,140,0,150,0,0,415834930,2280,0,0,0,0,0,0,290,290,4.1643,10000.1827,0,0,0,0,0,0.0,0.6514,-0.3972,1.2882
122,12.2,2610920,482130,5.4154,130,0,130,0,0,372536657,2040,0,0,0,0,0,0,250,250,4.1703,8011.5251,0,0,0,0,0,0.0,0.6514,-0.3972,1.2882
131,13.1,1920680,243800,7.8781,100,0,100,0,0,291989630,1600,0,0,0,0,0,0,200,190,4.1642,9859.33,0,0,0,0,0,0.0,0.6514,-0.3972,1.2882
139,13.9,2547450,328880,7.7458,130,0,130,0,0,401361684,2180,0,0,0,0,0,0,260,270,4.1727,3640.5558,0,0,0,0,0,0.0,0.6514,-0.3972,1.2882
148,14.8,2337950,314820,7.4263,130,0,120,0,0,360295575,1960,0,0,0,0,0,0,260,260,4.164,2948.646,0,0,0,0,0,0.0,0.6514,-0.3972,1.2882
157,15.7,1634300,102890,15.884,90,0,90,0,0,261258475,1380,0,0,0,0,0,0,180,180,4.1566,15431.1621,0,0,0,0,0,0.0,0.6514,-0.3972,1.2882
166,16.6,1421850,207820,6.8417,80,0,70,0,0,233591704,1250,0,0,0,0,0,0,150,160,4.1488,5867.5353,0,0,0,0,0,0.0,0.6514,-0.3972,1.2882
174,17.4,2642300,277940,9.5067,150,0,140,0,0,409159688,2240,0,0,0,0,0,0,290,280,4.1666,7236.9553,0,0,0,0,0,0.0,0.6514,-0.3972,1.2882
183,18.3,2267210,241570,9.3853,110,0,120,0,0,349982266,1920,0,0,0,0,0,0,230,230,4.1516,5706.226,0,0,0,0,0,0.0,0.6514,-0.3972,1.2882
192,19.2,1519770,162290,9.3645,80,0,90,0,0,241015502,1320,0,0,0,0,0,0,170,170,4.1496,8571.231,0,0,0,0,0,0.0,0.6514,-0.3972,1.2882
201,20.1,1089500,71050,15.3343,60,0,50,0,0,171236245,920,0,0,0,0,0,0,110,110,4.1466,11357.7347,0,0,0,0,0,0.0,0.6514,-0.3972,1.2882
209,20.9,2339230,327820,7.1357,130,0,120,0,0,357811354,1960,0,0,0,0,0,0,250,240,4.1566,3820.6441,0,0,0,0,0,0.0,0.6514,-0.3972,1.2882
