window_idx,window_start_s,bytes_read_per_sec,bytes_written_per_sec,rw_volume_ratio,file_deletion_rate,file_rename_rate,target_extension_velocity,seq_vs_random_disk_ratio,urandom_bytes_per_sec,mmap_brk_rate,mprotect_rate,futex_rate,net_packet_rate,net_byte_volume,unique_dest_ip_rate,dns_query_rate,connection_failure_rate,child_spawn_rate,execve_rate,syscall_sequence_entropy,io_burstiness_std,dir_ops,drop_rate,ransom_note_hits,library_call_rate_openssl,vmrss_kb,mean_file_entropy,time_to_first_encryption_s,encryption_slope,file_entropy_delta
0,0.0,109789430,242650,452.46,0,0,10,1760,114150,114853944,1140,0,0,0,0,0,0,20,60,3.5532,0.0,500,0,0,0,0,0.0,0.0036,1.087,3.163
2,0.2,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,11438.6307,0,0,0,0,0,0.0,0.0036,1.087,3.163
5,0.5,1057880,1317750,0.8028,710,0,1420,1420,0,0,0,0,0,0,0,0,0,0,0,2.7773,57092.2599,0,0,0,0,0,0.0,0.0036,1.087,3.163
7,0.7,1551360,1782830,0.8702,860,0,1720,1720,0,0,0,0,0,0,0,0,0,0,0,2.7774,52961.8035,0,0,0,0,0,0.0,0.0036,1.087,3.163
10,1.0,1596150,1862640,0.8569,820,0,1640,1630,0,0,0,0,0,0,0,0,0,0,0,2.7776,8195.066,0,0,0,0,0,0.0,0.0036,1.087,3.163
13,1.3,989680,1145980,0.8636,540,0,1080,1080,0,0,0,0,0,0,0,0,0,0,0,2.7889,29823.8642,10,0,0,0,0,0.0,0.0036,1.087,3.163
15,1.5,1156310,1412140,0.8188,790,0,1580,1580,0,0,0,0,0,0,0,0,0,0,0,2.7774,29587.2644,0,0,0,0,0,0.0,0.0036,1.087,3.163
18,1.8,1229770,1455020,0.8452,720,0,1440,1440,0,0,0,0,0,0,0,0,0,0,0,2.7775,22152.9083,0,0,0,0,0,0.0,0.0036,1.087,3.163
21,2.1,1343460,1632840,0.8228,770,0,1540,1540,0,0,0,0,0,0,0,0,0,0,0,2.7776,20889.0304,0,0,0,0,0,0.0,0.0036,1.087,3.163
23,2.3,1186330,1395160,0.8503,670,0,1350,1350,0,1048576,0,0,0,0,0,0,0,0,0,2.7863,12424.5383,0,0,0,0,0,0.0,0.0036,1.087,3.163
26,2.6,1293240,1564600,0.8266,740,0,1480,1480,0,0,0,0,0,0,0,0,0,0,0,2.7774,8497.3863,0,0,0,0,0,0.0,0.0036,1.087,3.163
29,2.9,1275940,1516050,0.8416,790,0,1580,1580,0,0,0,0,0,0,0,0,0,0,0,2.7774,12954.5661,0,0,0,0,0,0.0,0.0036,1.087,3.163
31,3.1,1034980,1224730,0.8451,610,0,1220,1220,0,0,0,0,0,0,0,0,0,0,0,2.7774,17993.619,0,0,0,0,0,0.0,0.0036,1.087,3.163
34,3.4,1481320,1721060,0.8607,770,0,1540,1540,0,0,0,0,0,0,0,0,0,0,0,2.7774,30788.8115,0,0,0,0,0,0.0,0.0036,1.087,3.163
37,3.7,1424610,1666120,0.855,770,0,1540,1540,0,0,0,0,0,0,0,0,0,0,0,2.7774,12417.2113,0,0,0,0,0,0.0,0.0036,1.087,3.163
39,3.9,1251830,1507930,0.8302,780,0,1560,1560,0,0,0,0,0,0,0,0,0,0,0,2.7774,9520.1426,0,0,0,0,0,0.0,0.0036,1.087,3.163
42,4.2,1148550,1329230,0.8641,610,0,1210,1220,0,0,0,0,0,0,0,0,0,0,0,2.7775,10346.8365,0,0,0,0,0,0.0,0.0036,1.087,3.163
45,4.5,1560940,1798270,0.868,750,0,1490,1490,0,0,0,0,0,0,0,0,0,0,0,2.7776,17809.8585,0,0,0,0,0,0.0,0.0036,1.087,3.163
47,4.7,1114860,1364610,0.817,730,0,1460,1460,0,0,0,0,0,0,0,0,0,0,0,2.7774,16611.0804,0,0,0,0,0,0.0,0.0036,1.087,3.163
50,5.0,1249500,1529850,0.8167,740,0,1470,1470,0,0,0,0,0,0,0,0,0,0,0,2.7778,12813.2656,0,0,0,0,0,0.0,0.0036,1.087,3.163
53,5.3,1222260,1399020,0.8737,680,0,1360,1360,0,0,0,0,0,0,0,0,0,0,0,2.7774,15611.1181,0,0,0,0,0,0.0,0.0036,1.087,3.163
55,5.5,1313240,1533080,0.8566,690,0,1380,1380,0,0,0,0,0,0,0,0,0,0,0,2.7774,15622.5284,0,0,0,0,0,0.0,0.0036,1.087,3.163
58,5.8,1153740,1354910,0.8515,760,0,1520,1520,0,0,0,0,0,0,0,0,0,0,0,2.7774,13620.6505,0,0,0,0,0,0.0,0.0036,1.087,3.163
61,6.1,782900,935390,0.837,510,0,1030,1030,0,0,0,0,0,0,0,0,0,0,0,2.7766,35861.8338,0,0,0,0,0,0.0,0.0036,1.087,3.163
63,6.3,1564780,1844640,0.8483,770,0,1540,1540,0,0,0,0,0,0,0,0,0,0,0,2.7774,37089.2548,0,0,0,0,0,0.0,0.0036,1.087,3.163
66,6.6,1424920,1692100,0.8421,730,0,1460,1460,0,0,0,0,0,0,0,0,0,0,0,2.7772,13172.2358,0,0,0,0,0,0.0,0.0036,1.087,3.163
69,6.9,1368820,1602570,0.8541,730,0,1460,1460,0,0,0,0,0,0,0,0,0,0,0,2.7774,14399.006,0,0,0,0,0,0.0,0.0036,1.087,3.163
71,7.1,840780,1032540,0.8143,460,0,930,920,0,0,0,0,0,0,0,0,0,0,0,2.7772,35063.0311,0,0,0,0,0,0.0,0.0036,1.087,3.163
74,7.4,1220620,1440550,0.8473,740,0,1480,1480,0,0,0,0,0,0,0,0,0,0,0,2.7774,25273.6503,0,0,0,0,0,0.0,0.0036,1.087,3.163
77,7.7,1602080,1848190,0.8668,790,0,1580,1580,0,0,0,0,0,0,0,0,0,0,0,2.7774,13254.1136,0,0,0,0,0,0.0,0.0036,1.087,3.163
79,7.9,1300400,1522270,0.8543,670,0,1340,1340,0,0,0,0,0,0,0,0,0,0,0,2.7774,18670.722,0,0,0,0,0,0.0,0.0036,1.087,3.163
82,8.2,1635940,1830570,0.8937,750,0,1500,1500,0,0,0,0,0,0,0,0,0,0,0,2.7774,25446.396,0,0,0,0,0,0.0,0.0036,1.087,3.163
85,8.5,1346910,1575180,0.8551,740,0,1480,1480,0,0,0,0,0,0,0,0,0,0,0,2.7774,23329.2354,0,0,0,0,0,0.0,0.0036,1.087,3.163
87,8.7,1239080,1471020,0.8423,770,0,1550,1550,0,0,0,0,0,0,0,0,0,0,0,2.7769,10344.5101,0,0,0,0,0,0.0,0.0036,1.087,3.163
90,9.0,793850,955760,0.8306,560,0,1110,1110,0,0,0,0,0,0,0,0,0,0,0,2.7779,23140.2415,0,0,0,0,0,0.0,0.0036,1.087,3.163
92,9.2,1319320,1554780,0.8486,740,0,1480,1480,0,0,0,0,0,0,0,0,0,0,0,2.7774,27285.7948,0,0,0,0,0,0.0,0.0036,1.087,3.163
95,9.5,1670320,1908260,0.8753,750,0,1520,1520,0,0,0,0,0,0,0,0,0,0,0,2.7766,12745.2849,0,0,0,0,0,0.0,0.0036,1.087,3.163
98,9.8,1093530,1250080,0.8748,530,0,1060,1070,0,0,0,0,0,0,0,0,0,0,0,2.7769,21903.6255,0,0,0,0,0,0.0,0.0036,1.087,3.163
100,10.0,1195930,1353490,0.8836,630,0,1250,1260,0,0,0,0,0,0,0,0,0,0,0,2.7877,23057.1828,10,0,0,0,0,0.0,0.0036,1.087,3.163
103,10.3,1154890,1394590,0.8281,640,0,1270,1280,0,0,0,0,0,0,0,0,0,0,0,2.7774,26461.1884,0,0,0,0,0,0.0,0.0036,1.087,3.163
106,10.6,1218650,1420250,0.8581,680,0,1360,1360,0,0,0,0,0,0,0,0,0,0,0,2.7774,10685.6825,0,0,0,0,0,0.0,0.0036,1.087,3.163
108,10.8,951810,1122310,0.8481,500,0,990,990,0,0,0,0,0,0,0,0,0,0,0,2.7781,12280.9673,0,0,0,0,0,0.0,0.0036,1.087,3.163
111,11.1,1441370,1693620,0.8511,690,0,1380,1380,0,0,0,0,0,0,0,0,0,0,0,2.7868,21021.6844,10,0,0,0,0,0.0,0.0036,1.087,3.163
114,11.4,1573100,1771310,0.8881,740,0,1480,1480,0,0,0,0,0,0,0,0,0,0,0,2.7774,7302.9847,0,0,0,0,0,0.0,0.0036,1.087,3.163
116,11.6,1327280,1499740,0.885,710,0,1440,1440,0,0,0,0,0,0,0,0,0,0,0,2.7766,11003.3614,0,0,0,0,0,0.0,0.0036,1.087,3.163
119,11.9,1348380,1586840,0.8497,720,0,1430,1430,0,0,0,0,0,0,0,0,0,0,0,2.7779,16689.7386,0,0,0,0,0,0.0,0.0036,1.087,3.163
122,12.2,1179970,1375650,0.8578,740,0,1480,1480,0,0,0,0,0,0,0,0,0,0,0,2.7863,18349.7065,10,0,0,0,0,0.0,0.0036,1.087,3.163
124,12.4,1231660,1502980,0.8195,700,0,1390,1390,0,0,0,0,0,0,0,0,0,0,0,2.7779,14961.136,0,0,0,0,0,0.0,0.0036,1.087,3.163
127,12.7,948660,1056010,0.8983,490,0,980,980,0,0,0,0,0,0,0,0,0,0,0,2.7774,26091.0893,0,0,0,0,0,0.0,0.0036,1.087,3.163
